order,easting,northing,period,cld_st,cld_end,t_sun,Ppip,hab,den_cont,den_int,den_wtt,gap,den_w1,den_w2,den_w3,dist_M5,dist_conif,dist_river,dist_dec,dist_awood,dist_im,den_SE_im,den_SE_dec,den_SE_ah,den_SE_ac,den_PE_im_im,den_PE_ah_im,den_PE_ac_im,den_PE_ac_ac,den_PE_ah_ah
7,296176.313400,96878.309100,4,2,2,2.114,1,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
9,296176.313400,96878.309100,4,2,2,2.131,1,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
11,296176.313400,96878.309100,4,2,2,2.146,1,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1052.05017,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
28,296176.313400,96878.309100,4,2,2,2.264,1,int,0.00000,0.00272,0.00062,0.92188,0.00008,0.00129,0.00024,1221.55025,278.02878,629.68243,278.02878,853.75641,0.00000,0.00907,0.00000,0.00353,0.00004,0.00296,0.00361,0.00360,0.00199,0.00116
42,295838.519700,96709.295200,10,2,2,2.595,1,int,0.00000,0.00219,0.00062,0.00000,0.00000,0.00000,0.00023,1607.03928,547.08319,366.87872,0.00000,670.82037,80.62257,0.00369,0.00000,0.00647,0.00006,0.00000,0.00000,0.00375,0.00405,0.00000
46,295838.519700,96709.295200,10,2,2,2.672,1,int,0.00000,0.00219,0.00062,0.00000,0.00000,0.00000,0.00023,1587.69977,547.08319,366.87872,0.00000,670.82037,80.62257,0.00369,0.00000,0.00647,0.00006,0.00000,0.00000,0.00375,0.00405,0.00000
76,296407.038500,96914.875000,28,99,99,1.577,1,int,0.00173,0.00250,0.00062,7.77165,0.00000,0.00000,0.00000,1625.82082,134.53624,700.35706,134.53624,961.50922,0.00000,0.00201,0.00000,0.00906,0.00006,0.00120,0.00000,0.00000,0.00219,0.00000
94,296229.442000,99509.123100,38,5,10,3.099,1,int,0.00000,0.00122,0.00008,0.00000,0.00018,0.00030,0.00000,1521.01213,360.55511,453.10043,0.00000,711.75836,0.00000,0.00534,0.00000,0.00031,0.00007,0.00260,0.00137,0.00373,0.00110,0.00376
101,296184.374000,99512.246300,39,90,75,0.679,1,int,0.00000,0.00115,0.00008,0.51151,0.00018,0.00027,0.00000,1418.89813,394.46167,407.18546,0.00000,715.68152,0.00000,0.00518,0.00000,0.00001,0.00008,0.00211,0.00099,0.00441,0.00170,0.00369
116,296913.973100,99250.804100,49,90,75,1.656,1,cont,0.00848,0.00170,0.00008,0.00000,0.00030,0.00044,0.00000,717.51075,0.00000,916.62427,0.00000,984.12396,294.10883,0.00000,0.00771,0.00442,0.00004,0.00000,0.00000,0.00000,0.00000,0.00208
119,296913.973100,99250.804100,49,90,75,1.693,1,cont,0.00848,0.00170,0.00008,0.00000,0.00030,0.00044,0.00000,818.48345,0.00000,916.62427,0.00000,984.12396,294.10883,0.00000,0.00771,0.00442,0.00004,0.00000,0.00000,0.00000,0.00000,0.00208
121,296998.870800,99264.697300,51,90,75,1.725,1,cont,0.00790,0.00163,0.00007,0.00000,0.00030,0.00041,0.00000,818.48345,10.00000,824.92426,0.00000,984.78424,311.44824,0.00000,0.00659,0.00514,0.00002,0.00000,0.00000,0.00000,0.00000,0.00107
130,300619.790600,101988.544600,55,70,85,1.939,1,int,0.00117,0.00189,0.00006,0.00000,0.00000,0.00000,0.00003,816.48101,122.06556,1042.01733,122.06556,0.00000,0.00000,0.00969,0.00037,0.00709,0.00000,0.00369,0.00476,0.00000,0.00000,0.00000
131,300619.790600,101988.544600,55,70,85,1.942,1,int,0.00117,0.00189,0.00006,0.00000,0.00000,0.00000,0.00003,1622.96262,122.06556,1042.01733,122.06556,0.00000,0.00000,0.00969,0.00037,0.00709,0.00000,0.00369,0.00476,0.00000,0.00000,0.00000
